PatentNo,Jurisdiction,PublicationDate,PublicationYear,ApplicationDate,Applicants,Inventors,Owners_updated,Owners,DocumentType,CPCClassifications,IPCRClassifications,USClassifications
CN103883526A,CN,25/06/2014,2014,19/12/2012,SHANGHAI ORIENT COMPRESSOR FACTORY CO LTD,ZHANG MAOFU;;LIN YAN AN;;CHEN QINSONG;;LIN JUNYI;;LAN YONGKUAN;;LIN YUCAN;;WU XIAOLAN;;WANG YUYAN,,,Patent Application,,F04C23/02;;F04C29/00;;F04C29/02;;F04C29/04,
CN103696967A,CN,02/04/2014,2014,25/12/2013,YANTAI ZHICHU HONG XING COMPRESSOR CO LTD,JIN YANKUN;;WANG SHUJIAN,,,Patent Application,,F04C29/04;;F04C18/16,
CN205533235U,CN,31/08/2016,2016,21/01/2016,SAZHEN COMPRESSOR (SHANGHAI) CO LTD,ZHANG QINGYUAN;;DING GANG;;CHENG HONGXING;;LIAO TIEQIANG;;WU JINYONG,,,Limited Patent,,F04C23/02;;F04C28/28;;F04C29/02;;F04C29/04,
CN204921363U,CN,30/12/2015,2015,14/07/2015,LIDA CHINA MACHINE EQUIPMENT CO LTD,HUANG DAPING,,,Limited Patent,,F04C18/02;;F04C23/02;;F04C29/02;;F04C29/04;;F04C29/12,
CN102486171A,CN,06/06/2012,2012,03/12/2010,KUNSHAN NENGJIE TECHNOLOGY SERVICE CO LTD,FUQING SUN;;XINGKUI ZHANG,,,Patent Application,,F04B49/06,
CN2721203Y,CN,31/08/2005,2005,27/08/2004,YUNENG OIL FILTER MFG CO LTD,XU ZI;;SHI QINGGANG;;XIAO XIAOQIANG,,,Limited Patent,,B01D29/00;;B01D35/14,
CN205327887U,CN,22/06/2016,2016,25/12/2015,ZHUHAI FENGGU METAL PRODUCTS CO LTD,YANG YIBIN,,,Limited Patent,,B65D90/24;;B01D46/10;;B65G47/91,
CN201586888U,CN,22/09/2010,2010,07/12/2009,JINAN FIRST MACHINE TOOL GROUP CO LTD,JUNYAN ZHANG;;YUXIANG ZHU,,,Limited Patent,,B23Q11/12;;F16N31/00,
CN2900416Y,CN,16/05/2007,2007,16/09/2005,BI WENJIE,MA XIANZHOU BI,,,Limited Patent,,B65D90/24,
CN203905940U,CN,29/10/2014,2014,30/04/2014,OIL PRODUCTION TECHNOLOGY RES INST OF JIANGHAN OILFIELD COMPANY SINOPEC,SONG JUN;;FAN LILI;;MA WENBIN;;ZHAO LISHUAI;;HE DONG,,,Limited Patent,,E21B47/14,
CN101026661A,CN,29/08/2007,2007,28/03/2007,UNIV HARBIN ENG,LING YUNFENG LI,,,Patent Application,,H04M11/00;;E21B44/00,
CN103967481A,CN,06/08/2014,2014,29/05/2014,CNPC DRILLING RES INST,GAO WENKAI;;DOU XIURONG;;JIA HENGTIAN;;ZHANG LEI;;WANG PENG;;LAN RONG;;FAN JINHUI;;PENG HAO;;GUAN KANG,,,Patent Application,,E21B47/14,
CN204899906U,CN,23/12/2015,2015,26/08/2015,HENAN ZHONGCHUAN TECHNOLOGY CO LTD,REN SHUHUI,,,Limited Patent,,E21B47/009;;E21B47/12,
CN204754904U,CN,11/11/2015,2015,27/04/2015,INFINIT TECHNOLOGY WUXI CO LTD,GONG MING;;YANG ZHENG;;ZHOU BIN,,,Limited Patent,,E21B47/00;;E21B47/002;;E21B47/047;;E21B47/06,
CN204492773U,CN,22/07/2015,2015,07/04/2015,CHINA NAT PETROLEUM CORP;;DAQING PETROLEUM ADMIN;;DAQING PETROLEUM EQUIPMENT GROUP,GAO FENG;;WAN LIDA;;XING YANFANG;;LIU WEIQIU;;DING BAOLIN;;DI YANKUN;;WANG SHA,,,Limited Patent,,E21B43/00;;E21B43/12,
CN204851219U,CN,09/12/2015,2015,26/06/2015,SINOPEC SHENGLI OILFIELD CO,MA DAIXIN;;XUE SHENGDONG;;XIE WENXIAN;;LIU YUWEN;;ZHOU ZHENGYOU;;CHI HONGLI;;FU TAO;;DING ZIFENG;;MENG DEJIA,,,Limited Patent,,E21B47/00;;E21B47/06;;E21B47/07,
CN102694584A,CN,26/09/2012,2012,21/03/2011,HANYING FENG,HANYING FENG,,,Patent Application,,H04B7/00;;H04B1/00,
CN202832516U,CN,27/03/2013,2013,21/06/2012,PETRO CHINA CO LTD,WANG YANSONG;;ZHANG BAOHUI;;ZU SHIQIANG;;GUO JIMIN;;WANG FENGQING;;CUI JINBANG;;LI SHANWEI,,,Limited Patent,,E21B47/14;;G08C23/02,
CN102748011A,CN,24/10/2012,2012,05/07/2012,BEIJING POLYDOCTOR PETROLEUM TECHNOLOGY CO LTD,DAIHONG GU;;ZHENG LIU;;HUI LUO;;CHANGJUN NIU;;HONGXIANG ZHANG;;JIANZHOU YANG;;JIQUAN SHAN;;YUMIN FAN;;CHANGXING JIANG,,,Patent Application,,E21B47/107;;G10L15/28,
CN101494509A,CN,29/07/2009,2009,22/01/2008,ZHANG YUHUAN,JIANZHONG OU,,HUANG YIFENG (2015-02-02),Patent Application,,H04H20/61,
CN103362499A,CN,23/10/2013,2013,28/06/2013,CHINA NAT PETROLEUM CORP;;CNPC DRILLING RES INST;;BEIJING PETROLEUM MACHINERY FACTORY,HUANG YANFU;;PAN XINGMING;;SHI QIAN;;WANG CHEN;;SHI HONGJIANG;;DOU XIURONG;;WANG JIAJIN;;LI XIANYI;;SUN CHENGQIN;;CHEN YESHENG;;ZHANG CHUNHUA;;ZHOU ZHIYONG;;YIN WENYING;;SHI YING;;LI HEXIANG;;LIU JIALIANG;;HU YONGJIAN,,,Patent Application,,E21B47/12,
CN104953928A,CN,30/09/2015,2015,09/07/2015,JINHUA BEITE PUMP INDUSTRY CO LTD,YE JIANBIN,,,Patent Application,H02S40/00;;H02J7/35;;H02S10/00;;Y02E10/56;;Y02E70/30,H02S10/10;;H02J7/00;;H02S10/20,
CN204859066U,CN,09/12/2015,2015,24/08/2015,HYDROLINK WATER CONSERVATION PLANNING BEIJING CO LTD,WU XIAOPING,,,Limited Patent,Y02E10/50,H02S10/10;;H02S40/42,
CN102487255A,CN,06/06/2012,2012,06/12/2010,ENN RES & DEV CO LTD;;ENN ENERGY SERVICE CO LTD,ZHENLEI FANG;;JIFU XU,,,Patent Application,Y02E10/50,F24J3/00;;H02N11/00;;H02S10/30,
CN103904944A,CN,02/07/2014,2014,24/12/2012,YUAN GUIXUE,YUAN GUIXUE,,,Patent Application,,H02N11/00,
CN104953928A,CN,30/09/2015,2015,09/07/2015,JINHUA BEITE PUMP INDUSTRY CO LTD,YE JIANBIN,,,Patent Application,H02S40/00;;H02J7/35;;H02S10/00;;Y02E10/56;;Y02E70/30,H02S10/10;;H02J7/00;;H02S10/20,
CN204859066U,CN,09/12/2015,2015,24/08/2015,HYDROLINK WATER CONSERVATION PLANNING BEIJING CO LTD,WU XIAOPING,,,Limited Patent,Y02E10/50,H02S10/10;;H02S40/42,
CN102487255A,CN,06/06/2012,2012,06/12/2010,ENN RES & DEV CO LTD;;ENN ENERGY SERVICE CO LTD,ZHENLEI FANG;;JIFU XU,,,Patent Application,Y02E10/50,F24J3/00;;H02N11/00;;H02S10/30,
CN103904944A,CN,02/07/2014,2014,24/12/2012,YUAN GUIXUE,YUAN GUIXUE,,,Patent Application,,H02N11/00,
CN104953928A,CN,30/09/2015,2015,09/07/2015,JINHUA BEITE PUMP INDUSTRY CO LTD,YE JIANBIN,,,Patent Application,H02S40/00;;H02J7/35;;H02S10/00;;Y02E10/56;;Y02E70/30,H02S10/10;;H02J7/00;;H02S10/20,
CN204859066U,CN,09/12/2015,2015,24/08/2015,HYDROLINK WATER CONSERVATION PLANNING BEIJING CO LTD,WU XIAOPING,,,Limited Patent,Y02E10/50,H02S10/10;;H02S40/42,
CN102487255A,CN,06/06/2012,2012,06/12/2010,ENN RES & DEV CO LTD;;ENN ENERGY SERVICE CO LTD,ZHENLEI FANG;;JIFU XU,,,Patent Application,Y02E10/50,F24J3/00;;H02N11/00;;H02S10/30,
CN103904944A,CN,02/07/2014,2014,24/12/2012,YUAN GUIXUE,YUAN GUIXUE,,,Patent Application,,H02N11/00,
CN101419126A,CN,29/04/2009,2009,28/11/2008,UNIV SOUTHEAST,SHUYUN JIANG,,,Patent Application,,G01M13/04,
CN2645070Y,CN,29/09/2004,2004,18/08/2003,WUXI MACHINE TOOLS CO LTD,CAI YING JIANG,,,Limited Patent,,G01M13/04,
CN102619802A,CN,01/08/2012,2012,10/04/2012,DONGDONG YU,DONGDONG YU,,,Patent Application,,F15B13/02,
CN202451142U,CN,26/09/2012,2012,26/10/2011,CHINA PETROLEUM & CHEMICAL;;SINOPEC RES INST PETROLEUM;;SICHUAN ACADEMY OF AEROSPACE TECHNOLOGY,XINMING NIU;;JUNHUA ZHENG;;CHUNGUO YANG;;BINGTANG GAO;;LEI WANG;;YUHUI LIU;;QIANG WANG;;YONG LING,,,Limited Patent,,E21B47/06;;E21B49/00,
CN104879534A,CN,02/09/2015,2015,12/05/2015,UNIV ZHEJIANG,WU SHIJUN;;CHEN HUAN;;JIANG ZHENHUI;;YANG CANJUN,,,Patent Application,F16K11/22;;F16K31/04,F16K11/22;;F16K31/04,
CN205592220U,CN,21/09/2016,2016,20/01/2016,UNIV CHINA PETROLEUM BEIJING,FANG JUN;;WANG YANBIN;;GAO DELI,,,Limited Patent,,F15B15/20;;F15B13/02,
CN102248992A,CN,23/11/2011,2011,13/05/2011,UNIV ZHEJIANG,CANJUN YANG;;SHUANGSHUANG FAN;;REN HU;;SHIJUN WU;;YU XIE;;KAIHU LI,,,Patent Application,,B63C11/52,
CN102108858A,CN,29/06/2011,2011,05/01/2011,CHINA NAT OFFSHORE OIL CORP;;CNOOC RES CT;;UNIV SOUTHWEST PETROLEUM,HUALIN ZHENG;;PING CHEN;;WEI JIANG;;SHIQUAN JIANG;;HONGQUAN XIA;;RONGDONG ZHU;;LIANGBIN XU;;JIAN LIU;;WANZHI HUANG;;ZE HU;;YANG LIU;;LIANG GE;;XUDONG WANG,,,Patent Application,,E21B47/06;;E21B49/00,
CN101446306A,CN,03/06/2009,2009,27/11/2008,CHINA NAT OFFSHORE OIL CORP,YUHONG TANG;;YANG ZHOU;;SUOGUI LI,,,Patent Application,,F15B13/00,
CN204807384U,CN,25/11/2015,2015,15/05/2015,UNIV CHINA PETROLEUM,WANG YANBIN;;FANG JUN;;GAO DELI,,,Limited Patent,,G01N3/00,
CN103904944A,CN,02/07/2014,2014,24/12/2012,YUAN GUIXUE,YUAN GUIXUE,,,Patent Application,,H02N11/00,
CN103259458A,CN,21/08/2013,2013,16/02/2012,WANG GUANGWU,WANG GUANGWU,,,Patent Application,Y02E10/46;;Y02E10/72,H02N11/00;;F03D9/00;;F03G6/06,
CN201332372Y,CN,21/10/2009,2009,26/12/2008,WENYUAN TANG,WENYUAN TANG;;SHIKAI KANG;;HUILIN YANG,,,Limited Patent,,H02N11/00,
CN103762939A,CN,30/04/2014,2014,09/01/2014,UNIV CHANGZHOU,CHEN FUJIANG;;QIU LINGYAN;;WANG JINLIANG;;ZHAO PENGCHENG;;SUN WEIDONG,,,Patent Application,Y02E10/50;;Y02E10/60,H02S40/42;;H02N11/00;;H02S40/44,
CN102487255A,CN,06/06/2012,2012,06/12/2010,ENN RES & DEV CO LTD;;ENN ENERGY SERVICE CO LTD,ZHENLEI FANG;;JIFU XU,,,Patent Application,Y02E10/50,F24J3/00;;H02N11/00;;H02S10/30,
CN204465413U,CN,08/07/2015,2015,31/03/2015,DUAN KE,DUAN KE;;LI XIUZHEN;;DUAN WEN,,,Limited Patent,Y02E10/50;;Y02E70/30,H02S10/00;;H02S10/20,
CN204304839U,CN,29/04/2015,2015,13/11/2014,XI AN BOYU GREEN ENERGY CO LTD,ZHANG XIAOZHE,,,Limited Patent,,H02N11/00,
CN103259458A,CN,21/08/2013,2013,16/02/2012,WANG GUANGWU,WANG GUANGWU,,,Patent Application,Y02E10/46;;Y02E10/72,H02N11/00;;F03D9/00;;F03G6/06,
CN105276862A,CN,27/01/2016,2016,14/09/2015,UNIV ANHUI JIANZHU,CHENG HAIFENG;;WU JUN;;HU NING;;LIU KAI;;ZHANG JU;;XIE ZONGBIAO;;TU FAN;;HU LILI,,,Patent Application,Y02B10/40;;Y02E10/10,F25B30/06;;F24F5/00;;F24J3/08,
CN202835829U,CN,27/03/2013,2013,11/09/2012,TIANJIN DONGLI LAKE ENERGY TECHNOLOGY CO LTD,ZHANG YIWANG;;WANG LICHUAN;;LIU HAIMING;;SUN DEQIAO,,,Limited Patent,Y02E10/44,F24J2/00;;F24J2/04;;F24J2/40;;F24J2/46,
CN205005013U,CN,27/01/2016,2016,21/04/2015,NANJING JIAYE NEW ENERGY CO LTD,ZHOU LI;;LU YUZHENG;;JIANG CHUAN;;ZHOU YUANXING;;HUANG XIUYONG,,,Limited Patent,Y02E10/52;;Y02E10/60,H02S40/22;;H02S40/42;;H02S40/44,
CN202757223U,CN,27/02/2013,2013,13/08/2012,ZHAO YUEWU,ZHAO YUEWU,,,Limited Patent,,F24F5/00;;F24D3/02;;F24D3/16,
CN101653089A,CN,24/02/2010,2010,10/09/2009,YUEMIN WU,YUEMIN WU,,,Patent Application,Y02E10/10,A01G13/06,
CN101271129A,CN,24/09/2008,2008,22/03/2007,ZIBO JIBAO MUTUAL INDUCTOR RES,YECAI DAN;;BO RONG;;ZHENXIAO ZHAO,,,Patent Application,,G01R11/00;;G01R22/00;;H01F38/28,
CN101650379A,CN,17/02/2010,2010,15/08/2008,ZIBO JIBAO MUTUAL INDUCTOR RES,BO RONG;;MIAO JUN;;QINGHUA ZHANG;;LI ZHANG,,,Patent Application,,G01R15/00,
CN103904944A,CN,02/07/2014,2014,24/12/2012,YUAN GUIXUE,YUAN GUIXUE,,,Patent Application,,H02N11/00,
CN103259458A,CN,21/08/2013,2013,16/02/2012,WANG GUANGWU,WANG GUANGWU,,,Patent Application,Y02E10/46;;Y02E10/72,H02N11/00;;F03D9/00;;F03G6/06,
CN201332372Y,CN,21/10/2009,2009,26/12/2008,WENYUAN TANG,WENYUAN TANG;;SHIKAI KANG;;HUILIN YANG,,,Limited Patent,,H02N11/00,
CN103762939A,CN,30/04/2014,2014,09/01/2014,UNIV CHANGZHOU,CHEN FUJIANG;;QIU LINGYAN;;WANG JINLIANG;;ZHAO PENGCHENG;;SUN WEIDONG,,,Patent Application,Y02E10/50;;Y02E10/60,H02S40/42;;H02N11/00;;H02S40/44,
CN102487255A,CN,06/06/2012,2012,06/12/2010,ENN RES & DEV CO LTD;;ENN ENERGY SERVICE CO LTD,ZHENLEI FANG;;JIFU XU,,,Patent Application,Y02E10/50,F24J3/00;;H02N11/00;;H02S10/30,
CN204465413U,CN,08/07/2015,2015,31/03/2015,DUAN KE,DUAN KE;;LI XIUZHEN;;DUAN WEN,,,Limited Patent,Y02E10/50;;Y02E70/30,H02S10/00;;H02S10/20,
CN104088621A,CN,08/10/2014,2014,01/04/2013,SHANGHAI YINUO AUTOMATION ENGINEERING CO LTD,CUI WANGQING;;XIA GANG;;FU JINLIN;;SUN WEI;;YANG XUE;;REN RONGJIN,,,Patent Application,,E21B47/00;;E21B43/34,
CN203640716U,CN,11/06/2014,2014,20/11/2013,LI YAO,LI YAO,,,Limited Patent,,E21B47/00;;E21B43/34,
CN104101396A,CN,15/10/2014,2014,26/06/2014,LU JIUQING,LU JIUQING,,,Patent Application,,G01F7/00,
CN204334473U,CN,13/05/2015,2015,28/01/2015,UNIV ANHUI TECHNOLOGY,JIA HU;;YUAN YINMEI,,,Limited Patent,Y02E10/44;;Y02E10/50;;Y02E10/60,H02S40/44;;F24S10/70,
CN204103861U,CN,14/01/2015,2015,19/06/2014,ANHUI XUTENG PHOTOVOLTAIC POWER CO LTD,YANG BO;;WANG NA;;CHENG QINGSHENG,,,Limited Patent,Y02B10/10;;Y02B10/20;;Y02B10/70;;Y02E10/50;;Y02E10/60,H02S40/44,
CN201846280U,CN,25/05/2011,2011,08/11/2010,UNIV KUNMING SCIENCE & TECH,JINGLING GUO;;YU HE;;YUANSHU CHEN;;WENKAI LONG;;SHUQIAO CHEN,,,Limited Patent,Y02E10/56,G05D3/00;;G05F1/67;;H02S20/32;;H02S40/30,
CN103259458A,CN,21/08/2013,2013,16/02/2012,WANG GUANGWU,WANG GUANGWU,,,Patent Application,Y02E10/46;;Y02E10/72,H02N11/00;;F03D9/00;;F03G6/06,
CN203734617U,CN,23/07/2014,2014,18/03/2014,UNIV ANHUI TECHNOLOGY,JIA HU;;ZHAO JING;;ZHANG BEI,,,Limited Patent,Y02E10/44;;Y02E10/50;;Y02E10/60,H02S40/44;;F24S10/70;;H02N11/00;;H02S10/00,
CN105276862A,CN,27/01/2016,2016,14/09/2015,UNIV ANHUI JIANZHU,CHENG HAIFENG;;WU JUN;;HU NING;;LIU KAI;;ZHANG JU;;XIE ZONGBIAO;;TU FAN;;HU LILI,,,Patent Application,Y02B10/40;;Y02E10/10,F25B30/06;;F24F5/00;;F24J3/08,
CN202023716U,CN,02/11/2011,2011,04/03/2011,BEIJING FUSHENG MACHINERY CO LTD,ZHIQIANG ZHANG,,,Limited Patent,,F04B39/00;;F04B39/06,
CN102650279A,CN,29/08/2012,2012,23/02/2011,SHANGHAI SHENBANG ELECTRONIC TECHNOLOGY CO LTD,YUANBO WU;;LIJIANG MA,,,Patent Application,,F04B49/06,
CN102767521A,CN,07/11/2012,2012,27/07/2012,FUSHENG IND SHANGHAI CO LTD,SHENGKUN CHEN,,,Patent Application,,F04C28/00,
CN201047346Y,CN,16/04/2008,2008,12/06/2007,UNIV SOUTHWEST PETROLEUM,ZHIQIANG HUANG;;QIN LI;;ZHENQIANG WEI;;YAN BO;;LI TAN,,,Limited Patent,,F04B53/02;;C23C4/129;;F04B53/14,
CN203323693U,CN,04/12/2013,2013,09/06/2013,HUNAN SHAOYE HONGGE HYDRAULIC CO LTD,SU WUHONG;;ZENG HUA,,,Limited Patent,,G01B7/02,
CN88101275A,CN,19/10/1988,1988,11/03/1988,"ARROW OIL TOOLS, LTD.",MARK L. WYATT,,,Patent Application,E21B33/1208;;E21B33/1216;;E21B2200/01;;F16J15/185,E21B33/00;;E21B33/12;;F16J15/18,
CN201407228Y,CN,17/02/2010,2010,05/06/2009,ZHAOZHI WANG,ZHAOZHI WANG,,,Limited Patent,,F15B15/14;;F15B5/00,
CN201846280U,CN,25/05/2011,2011,08/11/2010,UNIV KUNMING SCIENCE & TECH,JINGLING GUO;;YU HE;;YUANSHU CHEN;;WENKAI LONG;;SHUQIAO CHEN,,,Limited Patent,Y02E10/56,G05D3/00;;G05F1/67;;H02S20/32;;H02S40/30,
CN104883126A,CN,02/09/2015,2015,01/03/2014,ZHANG QINGCHUN,ZHANG QINGCHUN,,,Patent Application,H02S20/00;;H02J7/35;;H02S40/00;;Y02B10/20;;Y02B10/70;;Y02E10/56,H02S40/44;;H02J7/00;;H02S20/32,
CN103259458A,CN,21/08/2013,2013,16/02/2012,WANG GUANGWU,WANG GUANGWU,,,Patent Application,Y02E10/46;;Y02E10/72,H02N11/00;;F03D9/00;;F03G6/06,
CN105276862A,CN,27/01/2016,2016,14/09/2015,UNIV ANHUI JIANZHU,CHENG HAIFENG;;WU JUN;;HU NING;;LIU KAI;;ZHANG JU;;XIE ZONGBIAO;;TU FAN;;HU LILI,,,Patent Application,Y02B10/40;;Y02E10/10,F25B30/06;;F24F5/00;;F24J3/08,
CN204882528U,CN,16/12/2015,2015,17/07/2015,CHENGDU HANKANG INFORMATION INDUSTRY CO LTD,CHAI JUN;;CHEN JING;;CHEN YULIANG;;GENG HONGZHEN,,,Limited Patent,,G01N33/03,
CN203745367U,CN,30/07/2014,2014,10/12/2013,LU AN VOCATIONAL TECHNICAL COLLEGE;;UNIV ELECTRONIC SCIENCE & TECH;;NAT MEAT FOOD QUALITY SAFETY CONTROL ENGINEERING TECHNOLOGY RES CT,XU XIN;;HU MIAO;;XU XINGLIAN;;WANG JIAXIANG,,,Limited Patent,,G01N21/27,
CN102721794A,CN,10/10/2012,2012,26/06/2012,ZHENGZHOU WEISEN ELECTRONICS TECHNOLOGY CO LTD,KECHUANG ZHONG;;MINGFENG QI;;JIANGANG LIU;;XIAN ZHANG,,,Patent Application,,G01N33/03,
CN102507881A,CN,20/06/2012,2012,10/11/2011,BEIJING YINGSHENG TAIKE TECHNOLOGY CO LTD,LIU JAMES,,"BEIJING AISIBO TECHNOLOGY CO., LTD. (2014-12-08)",Patent Application,,G01N33/03,
CN104792826A,CN,22/07/2015,2015,23/03/2015,UNIV CHINA AGRICULTURAL,ZHENG LIMIN;;FANG XIONGWU;;REN FAZHENG;;ZHU HONG;;TIAN LIJUN;;ZHAN XIAOLIN;;WANG ZHINING,,,Patent Application,,G01N27/00,
CN101893591A,CN,24/11/2010,2010,24/06/2010,UNIV ZHEJIANG,MIN PAN;;HAO YANG;;HONGTAO LI;;WEI CHEN;;YUQUAN CHEN,,,Patent Application,,G01N27/00,
CN2098459U,CN,11/03/1992,1992,17/04/1991,STATE RUN JIANGAN MACHINE TOOL,ZHONGHUA LUO,,,Patent Application,,B63B29/16;;B63J4/00,
CN203173864U,CN,04/09/2013,2013,29/01/2013,QINGDAO JOWON MECHANICAL AND ELECTRICAL CO LTD,LI ZONGWU;;ZHANG BING;;SUN PENGFEI,,SHANDONG URBAN-MINING ENVIRONMENTAL PROTECTION GRO (2014-11-14),Limited Patent,,C02F1/40,
CN2215456Y,CN,20/12/1995,1995,27/10/1994,ZHOU LIANGMO,LIANGMO ZHOU,,,Limited Patent,,B63J99/00,
CN205401524U,CN,27/07/2016,2016,01/03/2016,NINGBO HUASHENG COMBINED BRAKE TECH CO LTD,CHEN JINGLIANG;;XU KAI;;CAO BIN,,,Limited Patent,,F16D57/00;;B60T10/02,
CN201304984Y,CN,09/09/2009,2009,28/11/2008,UNIV JIANGSU,REN HE,,,Limited Patent,,B60T10/02,
CN102039882A,CN,04/05/2011,2011,18/10/2009,GUANGYUAN WEI,GUANGYUAN WEI,,,Patent Application,,B60T10/00,
CN101070887A,CN,14/11/2007,2007,18/05/2007,TEERJIA SCIENCE TECHNOLOGY CO,LING ZHAOWEI HUANG,,,Patent Application,,F16F9/10,
CN104908728A,CN,16/09/2015,2015,12/06/2015,NINGBO HUASHENG AUTOMOBILE PARTS CO LTD,XU PENGYUAN;;YUAN KEDING;;WEI SHAOHUI,,,Patent Application,B60T10/00;;F16D57/007,B60T10/00;;F16D57/00,
CN204334473U,CN,13/05/2015,2015,28/01/2015,UNIV ANHUI TECHNOLOGY,JIA HU;;YUAN YINMEI,,,Limited Patent,Y02E10/44;;Y02E10/50;;Y02E10/60,H02S40/44;;F24S10/70,
CN201846280U,CN,25/05/2011,2011,08/11/2010,UNIV KUNMING SCIENCE & TECH,JINGLING GUO;;YU HE;;YUANSHU CHEN;;WENKAI LONG;;SHUQIAO CHEN,,,Limited Patent,Y02E10/56,G05D3/00;;G05F1/67;;H02S20/32;;H02S40/30,
CN103259458A,CN,21/08/2013,2013,16/02/2012,WANG GUANGWU,WANG GUANGWU,,,Patent Application,Y02E10/46;;Y02E10/72,H02N11/00;;F03D9/00;;F03G6/06,
CN105276862A,CN,27/01/2016,2016,14/09/2015,UNIV ANHUI JIANZHU,CHENG HAIFENG;;WU JUN;;HU NING;;LIU KAI;;ZHANG JU;;XIE ZONGBIAO;;TU FAN;;HU LILI,,,Patent Application,Y02B10/40;;Y02E10/10,F25B30/06;;F24F5/00;;F24J3/08,
CN201332372Y,CN,21/10/2009,2009,26/12/2008,WENYUAN TANG,WENYUAN TANG;;SHIKAI KANG;;HUILIN YANG,,,Limited Patent,,H02N11/00,
CN203734617U,CN,23/07/2014,2014,18/03/2014,UNIV ANHUI TECHNOLOGY,JIA HU;;ZHAO JING;;ZHANG BEI,,,Limited Patent,Y02E10/44;;Y02E10/50;;Y02E10/60,H02S40/44;;F24S10/70;;H02N11/00;;H02S10/00,
CN101818636A,CN,01/09/2010,2010,24/05/2010,PETROCHINA CO LTD,WENLONG GUAN;;JIA GUO;;HANG JIANG;;XIULUAN LI;;JIAN LUO;;DESHENG MA;;DEHUANG SHEN;;HONGZHUANG WANG;;CHENG ZAN,,,Patent Application,,E21B43/24,
CN103244115A,CN,14/08/2013,2013,25/05/2013,HAI AN COUNTY PETROLEUM SCIENT RES INSTR CO LTD,JIN XUESONG;;WANG YONGMING,,,Patent Application,,E21B49/00;;G01N15/08,
CN104763391A,CN,08/07/2015,2015,26/02/2015,UNIV SOUTHWEST PETROLEUM,WU FENG;;LI YILONG;;YANG QIANG;;LI XIAOPING;;ZHANG LIEHUI;;LU XINPIAN;;RONG YUANSHUAI;;LI XINHUA;;LUO JUAN,,,Patent Application,E21B43/168;;E21B47/00;;E21B47/002;;E21B47/06;;E21B49/00,E21B43/16;;E21B47/00;;E21B47/002;;E21B47/06;;E21B49/00,
CN103615241A,CN,05/03/2014,2014,10/12/2013,UNIV SOUTHWEST PETROLEUM,ZHANG LIEHUI;;LI YUN;;DONG SHOUPING,,,Patent Application,,E21B49/00,
CN102748018A,CN,24/10/2012,2012,23/07/2012,PETROCHINA CO LTD,JINZHONG LIANG;;DESHENG MA;;WENLONG GUAN;;HONGZHUANG WANG;;YOUWEI JIANG;;XIULUAN LI;;BOJUN WANG;;SONGLIN LI;;JING HAN,,,Patent Application,,E21B49/00,
CN104727788A,CN,24/06/2015,2015,06/02/2015,UNIV SOUTHWEST PETROLEUM,WU FENG;;YANG QIANG;;LI YILONG;;LI XIAOPING;;ZHANG LIEHUI;;WANG LEI;;ZENG WENGUANG,,,Patent Application,E21B43/168;;E21B49/00;;E21B49/08,E21B43/16;;E21B49/00;;E21B49/08,
CN105113807A,CN,02/12/2015,2015,02/09/2015,SUZHOU RUNJU DECORATION ENGINEERING CO LTD,MA JIANWEN,,,Patent Application,Y02B10/10;;Y02E10/50,E04H1/02;;E04B1/74;;H02S10/12;;H02S10/30,
CN101788162A,CN,28/07/2010,2010,30/12/2009,TIANJIN DIYUANJU LAND UTILIZIN;;TIANJIN HUAXIA CULTURE & ART I;;TIANJIN ZILI ENERGY SAVING AND,YU GAO;;CHENGTIE GUO;;QINGLIN GUO;;ZHEN HU;;JUYUAN JIANG;;HONGTAO JIANG;;MENG LIU;;SHUHUA LU;;SHIHONG WANG;;JINNAN ZANG;;ZHUHUA ZANG;;HUILAN ZHAO,,,Patent Application,,F24D15/02,
CN102374667A,CN,14/03/2012,2012,12/08/2010,DUN WANG,DUN WANG,,,Patent Application,Y02E10/44,F24J2/04;;E04B2/88;;F24J2/46;;F24J2/50,
CN201238276Y,CN,13/05/2009,2009,02/06/2008,BEIJING HUANNENG HAICHEN TECHN,BAOAN XU,,,Limited Patent,Y02B10/10;;Y02B10/20;;Y02E10/44;;Y02E10/50;;Y02E10/60,E04D13/18;;F24J2/46;;F24S10/40;;H02S40/44,
CN101922189A,CN,22/12/2010,2010,15/06/2009,WEIJIE LIU,WEIJIE LIU,,,Patent Application,Y02B10/20;;Y02E10/44,E04B2/88;;C03C17/00;;C03C17/02;;F24J2/48;;F24S10/30;;F24S10/95,
CN204006726U,CN,10/12/2014,2014,28/08/2014,ZHEJIANG KEJIE NEW MATERIAL CO LTD,WANG CHENGUANG,,,Limited Patent,Y02E10/44,F24J2/40;;F24S10/70,
CN205582260U,CN,14/09/2016,2016,25/04/2016,TIANJIN DONGLI LAKE ENERGY TECH CO LTD,ZHANG YIWANG;;WEI JIANCHUN;;YUAN YIGUO;;WANG SHENGLI;;WANG LICHUAN;;PING FUHANG;;LIU HAIMING,,,Limited Patent,,G08C23/04,
CN203422127U,CN,05/02/2014,2014,10/07/2013,TIANJIN CHUANGZHAN TONGCHENG TECHNOLOGY DEV CO LTD,WANG PENG,,,Limited Patent,,G01F15/06,
